MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;21/01/2021;10:35:00;;42;42;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;21/01/2021;18:45:00;;-72;-72;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;22/01/2021;00:58:00;;60;60;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;22/01/2021;07:25:00;;-53;-53;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;22/01/2021;11:57:00;;40;40;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;22/01/2021;19:28:00;;-65;-65;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;23/01/2021;01:12:00;;56;56;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;23/01/2021;08:05:00;;-52;-52;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;23/01/2021;13:12:00;;40;40;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
;Den Helder;DENHDR;;;Waterhoogte berekend;WATHTBRKD;;;;cm;t.o.v. Normaal Amsterdams Peil;NAP;Oppervlaktewater;OW;;;Astronomische waterhoogte mbv harmonische analyse;other:F012;;;23/01/2021;20:14:00;;-59;-59;Normale waarde;;;;Ongecontroleerd;RIKZMON_WAT;;;;;;;-999999999;NVT;25831;617198,3937;5869730,61;;;;Getijextreem berekend;GETETBRKD2;2;MUX
